sku,product_name,category,url,description
GVE-ELEC-001,iPhone 12 64GB Black,Electronics,https://www.giveasy.in/products/iphone-12-64gb-black,"64GB iPhone 12 in black, battery health 87%, dual 12MP cameras, A14 Bionic, 6.1"" OLED display. Never opened/repaired, phone only (no box/accessories)."
GVE-KTCH-002,Agaro OTG 21 Liter,Kitchen,https://www.giveasy.in/products/agaro-otg-21-liter,"21L OTG oven toaster griller, 90-230°C temp range, 60-min timer, top & bottom heating, tempered glass window. Barely touched, all racks and trays included."
GVE-LIVR-003,L Shaped Sofa 5 Seater,Living Room,https://www.giveasy.in/products/l-shaped-sofa-5-seater,"Grey fabric L-shaped sectional, 5-seater modular config, recently refreshed foam and fabric cover. Well-maintained with recent upgrades."
GVE-BDRM-004,Kids Race Car Bed with Storage,Bedroom,https://www.giveasy.in/products/kids-race-car-bed-with-storage,"6ft x 3ft solid wood race car bed in red/yellow, built-in storage box, star-patterned mattress included, racing graphics, safety side rails."
GVE-BDRM-005,Double Bed with Mattress (Navy Blue),Bedroom,https://www.giveasy.in/products/double-bed-with-mattress-navy-blue,"6x6 ft king/double upholstered bed, channel tufted headboard, blue velvet with gold trim, mattress included. Only 3 months old."
GVE-LIVR-006,Black Mesh Office Chair,Living Room,https://www.giveasy.in/products/black-mesh-office-chair,"Ergonomic mesh-back office chair, chrome steel base, 5 caster wheels, gas lift height adjust, 360° swivel, lumbar support, ~100kg capacity."
GVE-LIVR-007,IKEA HEMLINGBY 2-Seater Sofa,Living Room,https://www.giveasy.in/products/ikea-hemlingby-2-seater-sofa,"HEMLINGBY model, Knisa dark grey fabric, 145cm wide, 71.5cm deep, seat height 42cm. Minimal usage, no stains. 10-year IKEA warranty."
GVE-LIVR-008,5 Seater L-Shaped Sofa,Living Room,https://www.giveasy.in/products/5-seater-l-shaped-sofa,"Beige & black fabric L-shaped sofa, 5-seater, 5 years old but foam/cushioning in excellent shape. Wicker coffee table included. Tufted seating."
GVE-BDRM-009,Fender 60cc Acoustic Guitar,Bedroom,https://www.giveasy.in/products/fender-60cc-acoustic-guitar,"Fender 60cc dreadnought acoustic, 6-string, spruce wood top, rosewood fretboard & bridge, chrome tuning pegs, natural finish. Never played since purchase."
GVE-BDRM-010,Sheesham Bed with Side Tables + Storage,Bedroom,https://www.giveasy.in/products/sheesham-bed-with-side-tables-storage,"Solid sheesham wood bed frame with wood paneled headboard, under-bed storage boxes, 2 side tables with drawers, natural finish."
GVE-LIVR-011,3+1+1 Seater Sofa Set (Navy Blue),Living Room,https://www.giveasy.in/products/3-1-1-seater-sofa-set-navy-blue,"Solid wood frame 5-seater sofa set (3+1+1), navy blue fabric upholstery, grey cushions included, built-in wooden armrest tables, modular."
GVE-BDRM-012,Wakefit Engineered Wood Study Table,Bedroom,https://www.giveasy.in/products/wakefit-study-table,4x2 ft engineered wood study table with intact drawer. Regularly used but in good condition. Moving sale from Noida.
GVE-BDRM-013,Pepperfry Solid Wood Futon / Sofa Cum Bed,Bedroom,https://www.giveasy.in/products/pepperfry-solid-wood-futon-sofa-cum-bed,"Solid wood convertible futon, 3ft sofa folds out to 6ft bed, smooth fold-out mechanism. Hardly used, ideal for guest rooms."
GVE-KTCH-014,Hestia Cold Press Juicer,Kitchen,https://www.giveasy.in/products/hestia-cold-press-juicer,"240W motor, patented auger (3x extraction), 500ml capacity, 7.5kg heavy duty, wine red. Makes juice, sorbets, nut milk. 3 strainers included. Never used, original packaging."
GVE-BDRM-015,Homecentre Dresser Mirror with Drawers,Bedroom,https://www.giveasy.in/products/homecentre-dresser-mirror-with-drawers,"Premium MDF board dresser with dark wood grain finish, full-length vertical mirror, multi-tier shelving. 4 years old, sturdy and functional."
GVE-KTCH-016,Jaquar 3L Water Heater,Kitchen,https://www.giveasy.in/products/jaquar-3l-water-heater,"3L instant water heater, 3kW, stainless steel container, 25-75°C range, 6.5 bar pressure. Unused & sealed for 2 years, 3-year tank warranty."
GVE-LIVR-017,6 Seater Sofa + 1 Centre + 1 Side Table,Living Room,https://www.giveasy.in/products/6-seater-sofa-1-centre-1-side-table,"Premium upholstered 6-seater set: 2 large sofas + glass-top centre table + side table. Purchased 2024, plush upholstery, minimal usage, spotless."
GVE-BDRM-018,King Size Bed with Mattress + Side Tables,Bedroom,https://www.giveasy.in/products/king-size-bed-with-mattress-side-tables,"72x78 inch king bed with Corfom orthopaedic mattress, premium suede upholstery, hydraulic storage, high back headboard, 2 side tables included. 2024 model."
GVE-BDRM-019,King Size Bed (Storage + Mattress + Side Tables),Bedroom,https://www.giveasy.in/products/king-size-bed-storage-mattress-side-tables,"Luxury king bed suite: hydraulic storage bed + Corfom orthopaedic mattress + 2 engineered wood side tables. Diamond-quilt premium suede headboard, taupe/sand color. Jan 2024."
GVE-LIVR-020,Geeken Ergonomic Office Chair,Living Room,https://www.giveasy.in/products/geeken-ergonomic-office-chair,"High-back office chair, 360° swivel, heavy chrome base, high-density cushion, smooth casters, active lumbar support. 2024 purchase. 3 units available. Office clearance."
GVE-LIVR-021,3+1+1 Designer Sofa Set,Living Room,https://www.giveasy.in/products/3-1-1-designer-sofa-set,"Contemporary light blue 3+1+1 designer sofa set, premium fabric upholstery. 2 years old, relocation sale. Open for best offers."
GVE-LIVR-022,Sofa with Centre Table & Two Puffs,Living Room,https://www.giveasy.in/products/sofa-with-centre-table-two-puffs,"5-seater L-shape premium leatherette sofa + toughened glass centre table + 2 matching ottomans + high-density foam cushions. 3 years old, no sagging/frame issues."
GVE-KTCH-023,Wooden Coffee Table and Chairs,Kitchen,https://www.giveasy.in/products/wooden-coffee-table-and-chairs,"3-piece solid hardwood coffee set: 1 round table + 2 chairs, rustic matte finish. Structurally solid, no wobble. Ideal for coffee corners or balconies."
GVE-ELEC-024,MacBook Air (2019),Electronics,https://www.giveasy.in/products/macbook-air-2019,"1.6GHz Intel i5, 8GB LPDDR3, 128GB SSD, Retina 2560x1600, Intel UHD 617, macOS Sonoma. Battery newly replaced. Note: Touch ID non-functional."
GVE-ELEC-025,"MacBook Pro (2019) 15"""" Space Grey",Electronics,https://www.giveasy.in/products/macbook-pro-2019-15-space-grey,"Intel Core i7/i9, 16GB DDR4, 512GB SSD, Retina 15.4"", Radeon Pro, 4x Thunderbolt 3. Battery recently replaced. Note: Touch Bar display inactive but touch input works."
GVE-KTCH-026,Voltas Beko Dishwasher,Kitchen,https://www.giveasy.in/products/voltas-beko-dishwasher,"Model DT8S, 8 place settings, 6 wash programs, touchscreen, 8L water/cycle, 300W, 49dB, 2-level racks + cutlery tray, silver. Used only 2-3 times."
GVS540506,Solid Wood Mandir,Living Room,https://www.giveasy.in/products/solid-wood-mandir,"Solid/teak finish wood mandir, 30-32""H x 24-26""W, carved arches & dome top, 2 storage drawers, pull-out diya tray, walnut brown with yellow knobs. Minor burn mark on tray."
GVE-KTCH-028,Dyson Air Purifier - TP11 (Black/Nickel),Kitchen,https://www.giveasy.in/products/dyson-air-purifier-tp11-black,"Dyson Purifier Cool PC1, HEPA H13 filtration, 350° oscillation, WiFi enabled, MyDyson app, 81m3 room coverage, 4.72kg. Filter health 90%+, bill & box available. Purchased Oct 2025."
GVE-ELEC-029,Apple iPhone 11 (Black 64 GB),Electronics,https://www.giveasy.in/products/apple-iphone-11-black-64-gb,"6.1"" Liquid Retina, A13 Bionic, 64GB, 12MP dual rear + 12MP front, Face ID working. Battery health 81%, clean IMEI, unlocked. Purchased 2020, never repaired."
GVE-BDRM-030,Morphy Richards OFR 13-Fin,Bedroom,https://www.giveasy.in/products/morphy-richards-ofr-13-fin,"13-fin OFR + PTC fan heater, 2900W max, adjustable dial, 360° castors, tip-over safety sensor. Barely used, original bill included (Jan 2024). Relocation sale."
GVE-BDRM-031,3-Piece Hydraulic Bed Set,Bedroom,https://www.giveasy.in/products/3-piece-hydraulic-bed-set,"Queen Plus hydraulic storage bed (210x157cm) + Kurlon memory foam mattress + 2 side tables. 1 year old, frame & hydraulics in mint condition."
GVE-BDRM-032,Marble Top Peg Tables Set of 2,Bedroom,https://www.giveasy.in/products/marble-top-peg-tables-set-of-2,"Natural marble top with stainless steel geometric inlay frame, contemporary square shape, heavy non-wobble base. Luxury accent tables sold as pair."
GVE-BDRM-033,King Size Bed with Mattress,Bedroom,https://www.giveasy.in/products/king-size-bed-with-mattress,"6x6 ft king double bed, reinforced frame, integrated deep box storage, mattress included. 2024 model, pristine condition. Moving sale Sector 57 Gurgaon."
GVE-ELEC-034,Apple iPhone 11 (Black 64 GB) [duplicate listing check],Electronics,https://www.giveasy.in/products/apple-iphone-11-black-64-gb,"6.1"" Liquid Retina, A13 Bionic, 64GB, dual 12MP cameras. Battery 81%, clean IMEI, unlocked."
GVE-BDRM-035,Home Centre Sliding Cupboard,Bedroom,https://www.giveasy.in/products/home-centre-sliding-cupboard,"7ft x 9ft high-capacity wardrobe, high-quality plywood, 2 sliding doors, multiple cabinets & ample drawers. ~8 years old, regularly used, no structural damage."
GVE-BDRM-036,Sofa-cum-Bed with Overhead Storage,Bedroom,https://www.giveasy.in/products/sofa-cum-bed-with-overhead-storage,"Children's sofa-bed in pink & cream, heavy-duty panel construction, overhead cabinets, under-bed pull-out mechanism, open display cubbies. ~6ft single/twin config."
GVE-BDRM-037,Evok King Size Bed,Bedroom,https://www.giveasy.in/products/evok-king-size-bed,"Premium Evok king bed frame 78x72 inches, leg base (no storage), modern minimalist design. 2024 model."
GVE-BDRM-038,Evok Terence King Size Bed with Storage,Bedroom,https://www.giveasy.in/products/evok-terence-king-size-bed-with-storage,"Evok Terence king bed 2.03m x 1.93m, 115kg heavy duty engineered wood, walnut finish, upholstered headboard. Note: hydraulic lift non-functional, manual lift storage works."
GVE-BDRM-039,Evok King Size Bed with Storage,Bedroom,https://www.giveasy.in/products/evok-king-size-bed-with-storage,"Premium Evok king bed 78x72 inches with in-built box storage. 2024 model, regularly maintained in clean condition."
GVE-LIVR-040,Sofa-cum-Bed with Storage,Living Room,https://www.giveasy.in/products/sofa-cum-bed,"Designer modular sofa converting to 6x6ft king-size bed, premium grey tufted fabric, hidden storage for bedding. 8 months old, used <5 times for guests."
GVE-BDRM-041,JBL Bar 2.1 Deep Bass Soundbar with Subwoofer,Bedroom,https://www.giveasy.in/products/jbl-bar-2-1-deep-bass-soundbar-with-subwoofer,"300W total, wireless bass subwoofer, HDMI ARC / Optical, Dolby Digital. 3 years old, carefully used in smoke-free home, remote included."
GVE-BDRM-042,Solid Sheesham Trundle Bed,Bedroom,https://www.giveasy.in/products/sheesham-single-bed-with-mattress-by-wakefit,"Honey polished sheesham wood trundle bed 2.1m x 0.98m x 0.91m, termite-resistant, noise-free smooth trundle sliders. Includes Wakefit + cotton mattress. 6 months old, 7-year warranty."
GVE-KTCH-043,Honeywell Air Purifier,Kitchen,https://www.giveasy.in/products/honeywell-air-purifier,"HAC25 model, True HEPA + activated carbon, CADR 250 CMH (up to 30 sq.m), 3D suction, child lock, 3 speeds. Custom matte black paint, minor scuffs. 4 years old."
GVE-BDRM-044,Wakefit Lumara 2-Seater Sofa,Bedroom,https://www.giveasy.in/products/wakefit-lumara-2-seater-sofa,"Stone grey 2-seater, 1.6m x 96.5cm, pine & plywood frame, zig-zag springs, 40-density foam. No stains/tears, ~6 months used. 3-year manufacturer warranty active."
GVE-BDRM-045,Study Table and Chair,Bedroom,https://www.giveasy.in/products/study-table-and-chair,Engineered wood + glass top study table with lockable drawer & cabinet + cushioned office chair with armrests & rolling base. Minor laminate chipping on corners; glass intact.
GVE-LIVR-046,Urban Ladder 3-Seater Sofa (Marine Blue),Living Room,https://www.giveasy.in/products/urban-ladder-3-seater-sofa-marine-blue,"Winston model, solid neem wood frame, marine blue fabric, 1.77m x 75cm x 83.9cm, 48.5kg. Flared-top armrests. 2.5 years used, minor wear. Warranty expired."
GVE-LIVR-047,Urban Ladder 2-Seater Sofa,Living Room,https://www.giveasy.in/products/urban-ladder-2-seater-sofa,"Winston model, solid neem wood frame, marine blue fabric, 1.25m x 75cm x 83.9cm, 36.3kg. Compact for studios/small spaces. 1.5 years old, no sagging."
GVE-LIVR-048,Godrej Interio Aircon Ergonomic Chair,Living Room,https://www.giveasy.in/products/godrej-interio-aircon-mid-back-ergonomic-chair,"Model 56101522SD03928, ash grey leatherette + mesh back, chrome base, 76x101-112x73.7cm. Minimal use, no marks, smooth wheels. Feb 2024 purchase."
GVE-KTCH-049,Solid Wood Dining Table (6 Seater),Kitchen,https://www.giveasy.in/products/solid-wood-dining-table-6-seater,"Sheesham dining table 60x36x30 inches with tempered glass top, walnut brown finish, beige upholstery chairs, seats 6. One minor surface scratch. Purchased Nov 2023."
GVE-KTCH-050,Prestige Sandwich Maker (800 Watts),Kitchen,https://www.giveasy.in/products/prestige-sandwich-maker-800-watts,"Model PGMFB, 800W/230V, fixed non-stick grill plates, 23x21x10cm, 1.05kg. Heats evenly, lock mechanism works. Minor plate browning, exterior scuffs, chipped handle section."
GVE-KTCH-051,Philips Bread Toaster,Kitchen,https://www.giveasy.in/products/philips-bread-toaster,"2-slot toaster, variable width self-centering, 8 browning settings, integrated bun warming rack, 830W/230V, 1.07kg. Light surface scratches. Dust cover included."
GVE-BDRM-052,Solid Wood Dresser with Mirror,Bedroom,https://www.giveasy.in/products/solid-wood-dresser-with-mirror,"Solid sheesham hardwood dresser 72x28x16 inches with full mirror, textured panels, open shelves, wide drawer, woven-texture cabinet."
GVE-BDRM-053,Solid Wood 3-Drawer Side Tables (Set of 2),Bedroom,https://www.giveasy.in/products/solid-wood-3-drawer-side-tables-set-of-2,"Pair of sheesham wood bedside tables, 18x16x24 inches each, 3 smooth-sliding drawers each, hand-polished matte finish. Purchased Nov 2023, excellent condition."
