sku,product_name,category,url,description
BOAT-ADP-ZENITH-PRO,boAt Nirvana Zenith Pro,Earbuds,https://www.boat-lifestyle.com/products/nirvana-zenith-pro-wireless-earphones,"Wireless Earbuds with Spatial Audio, 80H Playback & 50dB Hybrid Adaptive ANC"
BOAT-ADP-SUPREME,boAt Airdopes Supreme,Earbuds,https://www.boat-lifestyle.com/products/airdopes-supreme-long-playback-earbuds,"Wireless Earbuds with 50 Hours Playback, AI ENx with Wind Noise Reduction, Cinematic Spatial Audio"
BOAT-ADP-161,boAt Airdopes 161,Earbuds,https://www.boat-lifestyle.com/products/airdopes-161,"Wireless Earbuds with Massive Playback of upto 40 Hours, IPX5 Water & Sweat Resistance"
BOAT-ADP-311PRO,boAt Airdopes 311 PRO,Earbuds,https://www.boat-lifestyle.com/products/airdopes-311-pro-wireless-earbuds,"Wireless Earbuds with 50 Hours Playback, Dual Mics with ENx Technology"
BOAT-NIR-ION-ANC,boAt Nirvana Ion ANC,Earbuds,https://www.boat-lifestyle.com/products/nirvana-ion-anc-earbuds,"Wireless Earbuds with Active Noise Cancellation, 120 Hours Playback"
BOAT-RKZ-412,boAt Rockerz 412,Headphones,https://www.boat-lifestyle.com/products/boat-rockerz-412-wireless-headphones,"Wireless Headphones with 40mm Drivers, BEAST Mode, ENx Tech & 60H Playback"
BOAT-RKZ-650PRO,boAt Rockerz 650 Pro,Headphones,https://www.boat-lifestyle.com/products/rockerz-650-pro,"Wireless Headphone with 80 Hours Playback, Dolby Audio, Touch & Swipe Controls"
BOAT-RKZ-512ANC,boAt Rockerz 512 ANC,Headphones,https://www.boat-lifestyle.com/products/boat-rockerz-512-anc,"Wireless Headphones with 40dB Hybrid ANC, 80H Playback & boAt Signature Sound"
BOAT-NIR-751ANC,boAt Nirvana 751 ANC,Headphones,https://www.boat-lifestyle.com/products/nirvana-751-anc-headphone,"Wireless Headphone with 40mm drivers, 65 Hours (54 Hours with ANC), Type C, Dual Compatibility"
BOAT-CHR-HORIZON,boAt Chrome Horizon,Smartwatches,https://www.boat-lifestyle.com/products/chrome-horizon-amoled-display-smartwatch,"Smartwatch with 1.51 inch AMOLED Display, Premium Metal Built, VO2 Max, Video Watch Face, Functional Crown"
BOAT-STM-INFINITY,boAt Storm Infinity,Smartwatches,https://www.boat-lifestyle.com/products/boat-storm-infinity-hd-display-smartwatch,"Smartwatch with 1.83 inch HD Display, ASAP Charge, 15-Day Battery Life, Functional Crown, BT v5.4"
BOAT-WAV-FURY,boAt Wave Fury,Smartwatches,https://www.boat-lifestyle.com/products/wave-fury-bluetooth-smartwatch,"Bluetooth Calling Smartwatch with 1.83 inch HD display, 30 days Battery, Heart Rate & SpO2 monitoring"
BOAT-ULT-EMBER,boAt Ultima Ember,Smartwatches,https://www.boat-lifestyle.com/products/ultima-ember-amoled-display-smartwatch,"Smartwatch with 1.96 inch AMOLED Display, Cloud Watch Faces, Functional Crown, BT Calling"
BOAT-STN-358PRO,boAt Stone 358 Pro,Speakers,https://www.boat-lifestyle.com/products/boat-stone-358-pro-portable-bluetooth-speaker-with-14w-boat-signature-sound-rgb-led-design-12-hours-playback,"Portable Bluetooth Speaker with 14W boAt Signature Sound, RGB LED Design, 12 Hours Playback"
BOAT-STN-1500,boAt Stone 1500,Speakers,https://www.boat-lifestyle.com/products/stone-1500,"Powerful 50W Sound with Thumping Passive Radiators, Up to 15 Hours of Playtime, IPX 6 Water Resistant"
BOAT-STN-ARC-PRO-PLUS,boAt Stone Arc Pro Plus,Speakers,https://www.boat-lifestyle.com/products/boat-stone-arc-pro-plus-portable-bluetooth-speaker,"Portable Bluetooth Speaker with 45W Sound, 12H Playback & RGB LEDs"
BOAT-STN-352,boAt Stone 352,Speakers,https://www.boat-lifestyle.com/products/stone-352,"Wireless Portable Bluetooth Speaker with 10W boAt Signature Sound, Up to 12 Hours Nonstop Playback"
BOAT-GAN-100W,boAt 100W GaN Charger,Cables & Chargers,https://www.boat-lifestyle.com/products/100w-gan-charger,"100W GaN Charger with fast charging support for laptops, tablets, and smartphones"
BOAT-GAN-67W,boAt 67W GaN Charger,Cables & Chargers,https://www.boat-lifestyle.com/products/67w-gan-charger,"67W GaN Charger with compact design and multi-device fast charging"
BOAT-AAV-1200N,boAt Aavante Bar 1200N,Soundbars,https://www.boat-lifestyle.com/products/aavante-bar-1200n-bluetooth-soundbar,"Bluetooth Soundbar with immersive surround sound, wireless subwoofer, and multiple connectivity options"
