sku,product_name,category,url,description
BWK-MV-001,Men's Blue Boxy Fit Vest,Men's Vests,https://www.bewakoof.com/p/men-blue-plain-vest-2,"Light breathable and built for everyday ease. Sleeveless boxy fit vest in blue cotton, perfect for warm weather and workouts."
BWK-MV-002,Men's Black Storm Trooper Graphic Printed Oversized Vest,Men's Vests,https://www.bewakoof.com/p/mens-black-storm-trooper-graphic-printed-oversized-vest,"Oversized fit vest featuring Star Wars Storm Trooper graphic print design in black cotton. Available in sizes S to 3XL."
BWK-WT-001,Women's Orange Da Runner Graphic Printed Boyfriend T-shirt,Women's T-Shirts,https://www.bewakoof.com/p/womens-orange-da-runner-graphic-printed-boyfriend-t-shirt,"Orange colored graphic print tee in boyfriend fit style. Comfortable cotton fabric with bold Da Runner print design."
BWK-WT-002,Women's Purple I Decide My Vibe Graphic Printed Boyfriend Fit T-shirt,Women's T-Shirts,https://www.bewakoof.com/p/i-decide-my-vibe-boyfriend-t-shirt-women,"Purple graphic print boyfriend fit t-shirt featuring inspirational I Decide My Vibe messaging. Soft cotton fabric."
BWK-WT-003,Women's Jet Black One Of A Kind Graphic Printed Oversized T-shirt,Women's T-Shirts,https://www.bewakoof.com/p/womens-jet-black-one-of-a-kind-graphic-printed-oversized-t-shirt,"Black oversized fit t-shirt with One Of A Kind graphic design. Premium cotton fabric for all-day comfort."
BWK-WT-004,Women's Green Lavender Feels Graphic Printed Oversized T-shirt,Women's T-Shirts,https://www.bewakoof.com/p/womens-green-lavender-feels-graphic-printed-oversized-t-shirt,"Green oversized graphic print t-shirt featuring Lavender Feels theme. Relaxed fit cotton tee for casual styling."
BWK-MJ-001,Men's Brown Oversized Cargo Joggers,Men's Joggers,https://www.bewakoof.com/p/mens-brown-oversized-cargo-joggers,"Bewakoof Air 1.0 lightweight terry fabric cargo joggers in brown. Oversized fit with cargo pockets for a streetwear look."
BWK-MJ-002,Men's Black Oversized Cargo Joggers,Men's Joggers,https://www.bewakoof.com/p/mens-black-beauty-solid-oversized-fit-cargo-jogger-men-black,"Solid black cargo joggers from the Bewakoof Air 1.0 collection. Lightweight terry fabric with oversized fit and functional cargo pockets."
BWK-MS-001,Men's Almond Brown Textured Oversized Shirt,Men's Casual Shirts,https://www.bewakoof.com/p/mens-almond-brown-textured-oversized-shirt,"Almond brown textured shirt in oversized fit. Premium fabric with a refined texture for smart casual occasions."
BWK-MS-002,Men's Multicolor Checked Shirts,Men's Casual Shirts,https://www.bewakoof.com/p/mens-multicolor-checked-shirts,"Multi-hued checked pattern shirt crafted from 100% cotton. Classic checked design with a modern relaxed silhouette."
BWK-MS-003,Men's White Cotton Linen Shirt,Men's Casual Shirts,https://www.bewakoof.com/p/mens-white-shirt-men,"White cotton linen blend shirt for men. Breathable summer-ready fabric with a clean minimal look."
BWK-MS-004,Men's Green & Black Snoopy Checked Oversized Hooded Shirt,Men's Casual Shirts,https://www.bewakoof.com/p/mens-green-sno-checked-oversized-hooded-shirt,"Green and black checked oversized hooded shirt with Snoopy character print. Licensed Peanuts collaboration with a streetwear edge."
BWK-AC-001,Men's White Comfy Sliders,Accessories,https://www.bewakoof.com/p/mens-white-sliders-white-men,"Comfortable white EVA sliders for men. Lightweight cushioned sole for everyday wear and relaxation."
BWK-AC-002,Unisex Black Stackable Sling Bag,Accessories,https://www.bewakoof.com/p/unisex-black-printed-sling-bag-unisex,"Bestselling unisex black sling bag in durable PU material. Compact stackable design for everyday carry."
BWK-AC-003,Men's Black Dark Knight Graffiti Comfysole Sliders,Accessories,https://www.bewakoof.com/p/dark-knight-graffiti-comfysole-mens-sliders,"Licensed DC Dark Knight collaboration slider with graffiti design. EVA comfort sole for all-day wearability."
BWK-WD-001,Women's Black Garfield Graphic Printed Oversized T-shirt Dress,Women's Dresses,https://www.bewakoof.com/p/womens-black-field-graphic-printed-oversized-dress,"Black oversized t-shirt dress with Garfield graphic print. Licensed character design in relaxed oversized silhouette."
BWK-WD-002,Women's Green I'm Bored Typography Oversized Dress,Women's Dresses,https://www.bewakoof.com/p/women-june-bug-im-bored-af-dress,"Green oversized dress featuring I'm Bored typography text design. Casual cotton dress with a statement graphic."
BWK-WD-003,Women's Off White All Over Printed Flared Dress,Women's Dresses,https://www.bewakoof.com/p/womens-off-white-all-over-printed-flared-dress,"Off white flared dress with all-over print pattern. Feminine flared silhouette with a contemporary printed design."
