sku,product_name,category,url,description
WOMFM72366,Wakefit ShapeSense Orthopedic Classic Memory Foam Mattress,Mattresses,https://www.wakefit.co/mattress/orthopaedic-memory-foam-mattress/WOMFM72366,"Next-gen memory foam mattress with 7-zone pressure relief system. Responds to body pressure and cradles you into deep sleep. 10-year warranty. Ideal for back pain relief with proper spinal alignment."
WEPSM72366,Wakefit Elevate Pocket Spring Mattress with Memory Foam,Mattresses,https://www.wakefit.co/mattress/ortho-spring-mattress-elevate/WEPSM72366,"Premium pocket spring mattress combining individually wrapped springs with memory foam comfort layer. Provides zero motion transfer and targeted support for undisturbed sleep."
WFXGSM72366R1,Wakefit XpertGRID Mattress,Mattresses,https://www.wakefit.co/mattress/xpert-grid-mattress/WFXGSM72366R1,"New-tech mattress with 3300+ air channels for superior cooling. Soft mattress with adaptive grid technology for pressure relief. Rated 4.5 stars with 6100+ reviews."
WMFWLM72306,Wakefit Latex Essential Mattress,Mattresses,https://www.wakefit.co/mattress/latex-mattress/WMFWLM72306,"Natural latex mattress offering eco-friendly sleep with excellent bounce and breathability. Hypoallergenic and anti-microbial properties for healthy sleep environment."
WFXGHYB72366,Wakefit XpertGRID Hybrid Pocket Spring Mattress,Mattresses,https://www.wakefit.co/mattress/xpertgrid-hybrid-pocket-spring-mattress/WFXGHYB72366,"Adaptive cooling grid technology combined with pocket springs for the best of both worlds. Zero motion transfer with 3300+ air channels for temperature regulation. 10-year warranty."
WDCM72366,Wakefit Dual Comfort Mattress,Mattresses,https://www.wakefit.co/mattress/dual-comfort-mattress/WDCM72366,"Reversible mattress with firm and medium-firm sides. High-resilience foam provides two comfort options in one mattress. Budget-friendly orthopedic support for all sleeping positions."
WSPD,Wakefit Memory Foam Sleeping Pillow,Pillows,https://www.wakefit.co/pillows-and-cushions/sleeping-pillow/WSPD,"Slow-rebound memory foam pillow that contours to your head and neck shape. Provides cervical support and pressure relief for side and back sleepers. Anti-microbial cover included."
WSSPS,Wakefit Super Soft Foam Pillow,Pillows,https://www.wakefit.co/pillows-and-cushions/super-soft-pillow/WSSPS,"Super soft foam pillow with plush comfort feel. 21.5 x 13.75 x 5 inches. Suitable for all sleeping positions. Breathable fabric cover for cool and comfortable sleep."
WWPMFTWT,Wakefit Wedge Pillow,Pillows,https://www.wakefit.co/pillows-and-cushions/wedge-pillow/WWPMFTWT,"Memory foam wedge pillow for elevated sleeping. Helps with acid reflux, snoring, and post-surgery recovery. Ergonomic incline design with removable washable cover."
WEWB7872HYSUPDGECLIPSEUT,Wakefit Eclipse King Size Bed with Hydraulic Storage,Bed Frames,https://www.wakefit.co/bed/engineered-wood-bed-eclipse/WEWB7872HYSUPDGECLIPSEUT,"King size engineered wood bed with dark grey upholstered headboard and hydraulic storage mechanism. Modern design with ample under-bed storage. Easy-lift hydraulic system."
WEWB7872HYSNIXCW,Wakefit Nix King Size Storage Engineered Wood Bed,Bed Frames,https://www.wakefit.co/bed/engineered-wood-bed-nix/WEWB7872HYSNIXCW,"King size engineered wood bed with hydraulic storage mechanism. Clean modern design in classic walnut finish. Sturdy construction with smooth hydraulic lift for easy access to storage."
WSWB7872SAUREHBSW,Wakefit Aureon Box Storage Solid Wood Bed,Bed Frames,https://www.wakefit.co/bed/aureon-box-storage-bed/WSWB7872SAUREHBSW,"Premium solid wood bed with box storage. Handcrafted with durable sheesham wood. Side-opening storage compartments for organizing bedding and essentials. Classic design with modern functionality."
WSTNAYENA,Wakefit Nayena Computer Study Table,Study Tables,https://www.wakefit.co/study-tables/nayena-computer-study-table/WSTNAYENA,"Engineered wood study table with dedicated keyboard tray and CPU holder. Spacious desktop surface with cable management. Ideal for home office and study setups."
WSTEDWIN,Wakefit Edwin Study Table,Study Tables,https://www.wakefit.co/study-tables/engineered-wood-study-table-edwin/WSTEDWIN,"Compact engineered wood study table with clean minimalist design. Built-in shelving for books and accessories. Suitable for small spaces and apartments."
WSTATHENACWR1,Wakefit Athena Study Table,Study Tables,https://www.wakefit.co/study-tables/athena-study-table/WSTATHENACWR1,"Modern study table with classic walnut finish. Multiple storage compartments and open shelves. Engineered wood construction with sturdy build for daily use."
WSFAFLRN3FCBG,Wakefit Flores Three Seater Sofa,Sofas,https://www.wakefit.co/sofa-set/flores-sofa/WSFAFLRN3FCBG,"Three seater fabric sofa with contemporary design. High-density foam cushions for lasting comfort. Solid wood frame with premium upholstery in elegant color options."
WSFABCLPN3FRRB,Wakefit Barcelona Plus Three Seater Sofa,Sofas,https://www.wakefit.co/sofa-set/barcelona-plus-sofa/WSFABCLPN3FRRB,"Premium three seater sofa with tufted backrest design. Soft fabric upholstery with high-resilience foam seating. Solid wood legs and reinforced frame for durability."
WSFAFLPN3FWGR,Wakefit Flipper Sofa Cum Bed Three Seater,Sofas,https://www.wakefit.co/sofa-set/flipper-sofa-cum-bed-three-seater/WSFAFLPN3FWGR,"Convertible three seater sofa that folds into a 6x5 feet bed. WarpKnit fabric in grey. Perfect for small apartments and guest rooms. Easy fold-out mechanism with no assembly required."
WSCHRGRAVIHBCBWYWEGYMLR1,Wakefit Gravita High Back Ergonomic Office Chair,Office Chairs,https://www.wakefit.co/office-chairs/gravita-high-back-office-chair/WSCHRGRAVIHBCBWYWEGYMLR1,"High back ergonomic office chair with lumbar support and multi-lock tilt mechanism. Breathable mesh back with adjustable headrest. Chrome base with smooth-rolling casters."
WSCHRSAFARHBCBBKBKBKMLR2,Wakefit Safari Pro High Back Ergonomic Office Chair,Office Chairs,https://www.wakefit.co/office-chairs/safari-high-back-office-chair/WSCHRSAFARHBCBBKBKBKMLR2,"High back ergonomic office chair with 3D adjustable armrests and lumbar support. Nylon base with multi-lock mechanism. DIY assembly. Breathable mesh design for all-day comfort."
