Product Name,Product URL,Category,Sale Price (INR),Regular Price (INR),Condition,Brand,Short Description,Availability,SKU
iPhone 12 64GB Black,https://www.giveasy.in/products/iphone-12-64gb-black,"Electronics, Fresh Finds",23000,45000,Good,Apple,"64GB iPhone 12 in black, battery health 87%, dual 12MP cameras, A14 Bionic, 6.1"" OLED display. Never opened/repaired, phone only (no box/accessories).",Available,
Agaro OTG 21 Liter,https://www.giveasy.in/products/agaro-otg-21-liter,"Kitchen, Fresh Finds",3000,5000,Like New,Agaro,"21L OTG oven toaster griller, 90-230°C temp range, 60-min timer, top & bottom heating, tempered glass window. Barely touched, all racks and trays included.",Available,
L Shaped Sofa 5 Seater,https://www.giveasy.in/products/l-shaped-sofa-5-seater,"Living Room, Fresh Finds",16000,40000,Excellent,giveasy,"Grey fabric L-shaped sectional, 5-seater modular config, recently refreshed foam and fabric cover. Well-maintained with recent upgrades.",Available,
Kids Race Car Bed with Storage,https://www.giveasy.in/products/kids-race-car-bed-with-storage,"Bedroom, Fresh Finds",8000,18000,Good,giveasy,"6ft x 3ft solid wood race car bed in red/yellow, built-in storage box, star-patterned mattress included, racing graphics, safety side rails.",Available,
Double Bed with Mattress (Navy Blue),https://www.giveasy.in/products/double-bed-with-mattress-navy-blue,"Bedroom, Fresh Finds",15000,20000,Like New,giveasy,"6x6 ft king/double upholstered bed, channel tufted headboard, blue velvet with gold trim, mattress included. Only 3 months old.",Available,
Black Mesh Office Chair,https://www.giveasy.in/products/black-mesh-office-chair,"Living Room, Fresh Finds",1900,2500,Good,giveasy,"Ergonomic mesh-back office chair, chrome steel base, 5 caster wheels, gas lift height adjust, 360° swivel, lumbar support, ~100kg capacity.",Available,
IKEA HEMLINGBY 2-Seater Sofa,https://www.giveasy.in/products/ikea-hemlingby-2-seater-sofa,"Living Room, Fresh Finds",10000,18000,Like New,IKEA,"HEMLINGBY model, Knisa dark grey fabric, 145cm wide, 71.5cm deep, seat height 42cm. Minimal usage, no stains. 10-year IKEA warranty.",Available,
5 Seater L-Shaped Sofa,https://www.giveasy.in/products/5-seater-l-shaped-sofa,"Living Room, Fresh Finds",16000,55000,Excellent,Krishna Furniture,"Beige & black fabric L-shaped sofa, 5-seater, 5 years old but foam/cushioning in excellent shape. Wicker coffee table included. Tufted seating.",Available,
Fender 60cc Acoustic Guitar,https://www.giveasy.in/products/fender-60cc-acoustic-guitar,"Bedroom, Fresh Finds",17500,25000,Like New (Mint/Unused),Fender,"Fender 60cc dreadnought acoustic, 6-string, spruce wood top, rosewood fretboard & bridge, chrome tuning pegs, natural finish. Never played since purchase.",Available,
Sheesham Bed with Side Tables + Storage,https://www.giveasy.in/products/sheesham-bed-with-side-tables-storage,"Bedroom, Fresh Finds",35000,55000,Excellent (Rarely Used),giveasy,"Solid sheesham wood bed frame with wood paneled headboard, under-bed storage boxes, 2 side tables with drawers, natural finish.",Available,
3+1+1 Seater Sofa Set (Navy Blue),https://www.giveasy.in/products/3-1-1-seater-sofa-set-navy-blue,"Living Room, Fresh Finds",13000,48000,Good,giveasy,"Solid wood frame 5-seater sofa set (3+1+1), navy blue fabric upholstery, grey cushions included, built-in wooden armrest tables, modular.",Available,
Wakefit Engineered Wood Study Table,https://www.giveasy.in/products/wakefit-study-table,"Bedroom, Fresh Finds",7000,11000,Excellent,Wakefit,"4x2 ft engineered wood study table with intact drawer. Regularly used but in good condition. Moving sale from Noida.",Available,
Pepperfry Solid Wood Futon / Sofa Cum Bed,https://www.giveasy.in/products/pepperfry-solid-wood-futon-sofa-cum-bed,"Bedroom, Living Room, Fresh Finds",10000,20000,Like New,Pepperfry,"Solid wood convertible futon, 3ft sofa folds out to 6ft bed, smooth fold-out mechanism. Hardly used, ideal for guest rooms.",Available,
Hestia Cold Press Juicer,https://www.giveasy.in/products/hestia-cold-press-juicer,"Kitchen, Fresh Finds",11999,23990,As New (Mint/Unused),Hestia Appliances,"240W motor, patented auger (3x extraction), 500ml capacity, 7.5kg heavy duty, wine red. Makes juice, sorbets, nut milk. 3 strainers included. Never used, original packaging.",Available,
Homecentre Dresser Mirror with Drawers,https://www.giveasy.in/products/homecentre-dresser-mirror-with-drawers,"Bedroom, Fresh Finds",5000,16000,Lightly Used,Homecentre,"Premium MDF board dresser with dark wood grain finish, full-length vertical mirror, multi-tier shelving. 4 years old, sturdy and functional.",Available,
